euler,centroid_x,centroid_y,hor_symm,ver_symm,aspect_ratio,area_ratio
0.000000,5.484375,8.523438,0.000000,0.291667,1.000000,0.612440
1.000000,3.651163,4.860465,0.620690,0.430769,0.000000,0.502924
0.000000,5.510638,5.255319,0.446809,0.439024,0.000000,0.582043
1.000000,5.915033,4.725490,0.857143,0.621622,0.000000,0.473684
1.000000,4.033333,6.127778,0.772727,0.840000,1.000000,0.592105
0.000000,4.586207,6.289655,0.000000,0.173913,1.000000,0.508772
0.000000,5.189024,8.810976,0.000000,0.760870,1.000000,0.784689
0.000000,4.119403,5.283582,0.793103,0.062500,1.000000,0.440789
0.000000,4.579545,6.511364,0.625000,0.644444,1.000000,0.544892
1.000000,3.915888,8.598131,0.000000,0.350000,1.000000,0.511962
0.000000,5.004902,5.009804,0.285714,0.281250,1.000000,0.565097
0.000000,5.422619,7.196429,0.000000,0.250000,1.000000,0.589474
1.000000,4.259843,5.661417,1.000000,0.297872,1.000000,0.417763
1.000000,4.482143,5.202381,0.722222,0.660377,1.000000,0.465374
0.000000,4.298137,5.919255,0.272727,0.490566,1.000000,0.498452
1.000000,4.590643,4.491228,0.660000,0.714286,1.000000,0.473684
1.000000,5.135338,5.383459,0.619048,0.405405,0.000000,0.437500
1.000000,4.038217,6.197452,0.166667,0.255319,1.000000,0.486068
0.000000,5.208696,9.139130,0.000000,0.392857,1.000000,0.550239
1.000000,5.162162,10.405405,0.000000,0.263158,2.000000,0.432749
0.000000,4.919708,7.729927,0.000000,0.933333,1.000000,0.554656
0.000000,4.425000,7.241667,0.000000,0.548387,1.000000,0.526316
0.000000,4.174603,7.071429,1.000000,0.441860,1.000000,0.473684
1.000000,4.585366,4.695122,0.267857,0.203704,1.000000,0.454294
0.000000,4.156780,5.097458,0.442857,0.376471,1.000000,0.653740
1.000000,3.754237,6.644068,1.000000,0.347826,1.000000,0.414035
0.000000,4.318777,4.742358,0.541667,0.295775,1.000000,0.634349
-2.000000,4.173554,9.157025,0.000000,0.857143,1.000000,0.578947
-1.000000,4.222222,7.753968,0.000000,0.371429,1.000000,0.552632
-1.000000,4.361789,4.825203,0.818182,0.741935,1.000000,0.681440
0.000000,4.122093,7.372093,0.000000,0.448276,1.000000,0.603509
1.000000,4.687500,4.993750,0.807692,0.673077,1.000000,0.443213
1.000000,4.594340,6.962264,1.000000,0.838710,1.000000,0.371930
1.000000,3.907692,11.830769,0.000000,0.700000,3.000000,0.684211
0.000000,5.149351,8.279221,0.000000,0.875000,1.000000,0.736842
1.000000,4.993333,5.586667,0.590909,0.000000,1.000000,0.493421
0.000000,4.614815,6.725926,0.800000,0.486486,1.000000,0.473684
1.000000,4.326087,5.630435,0.931034,0.846154,1.000000,0.427245
-2.000000,4.728477,6.794702,0.000000,0.714286,1.000000,0.567669
1.000000,4.750000,4.847561,0.727273,0.471698,0.000000,0.479532
1.000000,4.173684,6.431579,0.695652,0.809524,1.000000,0.588235
0.000000,4.639344,7.385246,0.750000,0.620690,1.000000,0.493927
1.000000,4.521127,5.978873,1.000000,0.318182,1.000000,0.439628
0.000000,5.000000,5.879747,0.384615,0.418605,1.000000,0.519737
1.000000,5.181818,4.977273,0.562500,0.893617,1.000000,0.487535
0.000000,5.088889,9.900000,0.000000,0.350000,2.000000,0.526316
1.000000,5.127451,8.000000,0.000000,0.320000,1.000000,0.412955
1.000000,4.676692,6.443609,0.400000,0.666667,1.000000,0.500000
0.000000,4.124031,7.534884,0.000000,0.536585,1.000000,0.565789
1.000000,3.783069,4.936508,0.760870,0.279412,1.000000,0.523546
0.000000,4.392045,4.625000,0.642857,0.500000,1.000000,0.487535
1.000000,4.744444,8.066667,0.000000,0.258065,1.000000,0.364372
1.000000,4.689922,6.457364,0.857143,0.410256,1.000000,0.452632
-1.000000,4.312977,7.748092,0.000000,0.875000,1.000000,0.574561
1.000000,4.691489,5.132979,0.793103,0.321429,1.000000,0.549708
-1.000000,4.500000,7.606667,1.000000,0.666667,1.000000,0.526316
